"","X","address","city","country","name","province","reviews.date","reviews.text","reviews.title","reviews.username","lang","translated_text","cleaned_text","ratings_tf","rating"
"82",2480,"1808 S Australian Ave","West Palm Beach","US","Doubletree By Hilton West Palm Beach Airport","FL","6/15/2016","Gave this hotel an opportunity to contact me but since they did not I am reviewing it here. Disgusting. Checked in while the man ahead of me was barefoot and asking fior extra cookies. Got to my room on a hilton honors floor... needed major updating in every possible way. Went to their restaurant which was horrible also in all... More","Awful","CF R","en","Gave this hotel an opportunity to contact me but since they did not I am reviewing it here. Disgusting. Checked in while the man ahead of me was barefoot and asking fior extra cookies. Got to my room on a hilton honors floor... needed major updating in every possible way. Went to their restaurant which was horrible also in all... More","give hotel opportunity contact since review disgust check man ahead barefoot ask fior extra cookie get room hilton honor floor need major update every possible way go restaurant horrible also much",1,4
"83",2489,"1808 S Australian Ave","West Palm Beach","US","Doubletree By Hilton West Palm Beach Airport","FL","5/20/2013","My room is clean and staff has been nice so far!!! I Would recommend staying here!","Beautiful hotel","Brian","en","My room is clean and staff has been nice so far!!! I Would recommend staying here!"," room clean staff nice far recommend stay ",3,4
"84",2516,"1808 S Australian Ave","West Palm Beach","US","Doubletree By Hilton West Palm Beach Airport","FL","4/13/2016","I booked 5 rooms for my daughter and her friends after prom. Staff was very helpful, rooms were clean and comfortable. Everything went smoothly and was just as expected. Perfect way for the kids to end their high school years!","Great stay!","Molly H","en","I booked 5 rooms for my daughter and her friends after prom. Staff was very helpful, rooms were clean and comfortable. Everything went smoothly and was just as expected. Perfect way for the kids to end their high school years!"," book room daughter friend prom staff helpful room clean comfortable everything go smoothly just expect perfect way kid end high school year",3,5
"85",2522,"1808 S Australian Ave","West Palm Beach","US","Doubletree By Hilton West Palm Beach Airport","FL","7/1/2015","The facility, rooms, cafe, cafe service, cleanliness, and fitness center were all exceptional. The front desk staff gets two thumbs down, as a gold member I expect certain things from a Hilton property as I stay exclusively with them. The front desk was not friendly, very condescending, and down right not engaged in my transaction. Not a good first impression,... More","Didn't feel welcomed","Kevin W","en","The facility, rooms, cafe, cafe service, cleanliness, and fitness center were all exceptional. The front desk staff gets two thumbs down, as a gold member I expect certain things from a Hilton property as I stay exclusively with them. The front desk was not friendly, very condescending, and down right not engaged in my transaction. Not a good first impression,... More"," facility room cafe cafe service cleanliness fitness center exceptional front desk staff get two thumb gold member expect certain thing hilton property stay exclusively front desk friendly condescend right engage transaction good first impression much",3,5
"86",2542,"1808 S Australian Ave","West Palm Beach","US","Doubletree By Hilton West Palm Beach Airport","FL","7/1/2016","We've stayed here multiple times and have always enjoyed our stay. This trip it had been remodeled, which made it even nicer. The rooms are neat and clean and comfortable. My daughter and I are highly allergic to down, which is used in their pillows. However, I called down to the front desk and they were able to send some... More","Nice, comfortable Stay","Laura E","en","We've stayed here multiple times and have always enjoyed our stay. This trip it had been remodeled, which made it even nicer. The rooms are neat and clean and comfortable. My daughter and I are highly allergic to down, which is used in their pillows. However, I called down to the front desk and they were able to send some... More","weve stay multiple time always enjoy stay trip remodel make even nice room neat clean comfortable daughter highly allergic use pillow however call front desk able send much",3,4
"87",2546,"1808 S Australian Ave","West Palm Beach","US","Doubletree By Hilton West Palm Beach Airport","FL","6/3/2015","My flight into West Palm Beach landed at close to midnight. I called the hotel for the shuttle and the phone was answered on the second ring. She told me the shuttle would be there in 10 minutes and it arrived even sooner than that. Upon arriving at the hotel I found out that my reservation was not in the... More","Exceptional Service","Bill P","en","My flight into West Palm Beach landed at close to midnight. I called the hotel for the shuttle and the phone was answered on the second ring. She told me the shuttle would be there in 10 minutes and it arrived even sooner than that. Upon arriving at the hotel I found out that my reservation was not in the... More"," flight west palm beach land close midnight call hotel shuttle phone answer ring tell shuttle minute arrive even soon upon arrive hotel find reservation much",3,4
"88",2603,"855 Pasquinelli Dr","Westmont","US","Extended Stay America - Chicago - Westmont - Oak Brook","IL","3/7/2015","Everything was great","Great hotel","Jose","en","Everything was great","everything great",3,2
"89",2616,"855 Pasquinelli Dr","Westmont","US","Extended Stay America - Chicago - Westmont - Oak Brook","IL","12/22/2014","Stayed to visit family at Christmas. Hitel is very basic. No maid service. Cheap so okay for a place to crash but don't expect much and your good","As expected for price","Gregory","en","Stayed to visit family at Christmas. Hitel is very basic. No maid service. Cheap so okay for a place to crash but don't expect much and your good","stay visit family christmas hitel basic maid service cheap okay place crash dont expect much good",3,3
"90",2652,"855 Pasquinelli Dr","Westmont","US","Extended Stay America - Chicago - Westmont - Oak Brook","IL","9/26/2015","We only stayed one night for a big family event and I'm glad that's all we stayed. Beds were comfortable but rooms have not been updated in quite a while. Complimentary breakfast was pre-packaged muffins, coffee, granola bars, and instant oatmeal.","Ok for a one night stay...","A Traveler","en","We only stayed one night for a big family event and I'm glad that's all we stayed. Beds were comfortable but rooms have not been updated in quite a while. Complimentary breakfast was pre-packaged muffins, coffee, granola bars, and instant oatmeal."," stay one night big family event im glad thats stay bed comfortable room update quite complimentary breakfast pre package muffin coffee granola bar instant oatmeal",3,4
"91",2706,"2500 6th St","Brookings","US","Days Inn Brookings","SD","10/14/2015","Not sure I'll ever stay at a Days Inn again. I guess you get what you pay for, but I've had better 60 rooms.","Bare minimum","A Traveler","en","Not sure I'll ever stay at a Days Inn again. I guess you get what you pay for, but I've had better 60 rooms."," sure ill ever stay day inn guess get pay ive good room",3,3
"92",2718,"2500 6th St","Brookings","US","Days Inn Brookings","SD","9/19/2015","Liked the pool, alot of construction still finishing up, some walls not painted, toilet seat broken, good food , good breakfast","great pool","Damon","en","Liked the pool, alot of construction still finishing up, some walls not painted, toilet seat broken, good food , good breakfast","like pool alot construction still finish wall paint toilet seat break good food good breakfast",3,4
"93",2725,"2500 6th St","Brookings","US","Days Inn Brookings","SD","2/7/2015","Place is undergoing remodeling, so some hallways were blocked off, pool was closed, and breakfast was terrible. The room was ok but out dated. The room was perhaps the quietest room I have ever had, no hallway noise, no road noise etc.","Days Inn Brookings, SD","A Traveler","en","Place is undergoing remodeling, so some hallways were blocked off, pool was closed, and breakfast was terrible. The room was ok but out dated. The room was perhaps the quietest room I have ever had, no hallway noise, no road noise etc.","place undergo remodel hallway block pool close breakfast terrible room okay date room perhaps quiet room ever hallway noise road noise etc",1,2
"94",2924,"2075 N Us State Nighway 360","Grand Prairie","US","Best Western Plus Arlington North Hotel and Suites","TX","1/22/2016","This was the best hotel stay ever in TX the staff was very friendly and the room was fantastic. I'm planning to stay here again in April","Best stay in Texas","zachary","en","This was the best hotel stay ever in TX the staff was very friendly and the room was fantastic. I'm planning to stay here again in April"," good hotel stay ever tx staff friendly room fantastic im plan stay april",3,4
"95",2934,"2075 N Us State Nighway 360","Grand Prairie","US","Best Western Plus Arlington North Hotel and Suites","TX","4/5/2016","The hotel was great! The only negative were the pillows. They were tiny square decorator size, so we had to buy a couple of our own to sleep on. They have dispensers of shampoo, conditioner, shower gel located right in the shower which was great! Would recommend this hotel to everyone!!","Short stay","curtis","en","The hotel was great! The only negative were the pillows. They were tiny square decorator size, so we had to buy a couple of our own to sleep on. They have dispensers of shampoo, conditioner, shower gel located right in the shower which was great! Would recommend this hotel to everyone!!"," hotel great negative pillow tiny square decorator size buy couple sleep dispenser shampoo conditioner shower gel locate right shower great recommend hotel everyone",3,2
"96",2955,"102 N Alvernon Way","Tucson","US","La Quinta Inn and Suites Tucson - Reid Park","AZ","2/24/2016","Nice stay overall. The staff is very friendly and helpful. The rooms are clean and comfortable. The breakfast was relatively good. I would stay again without hesitation.","Tucson AZ stay","Patrick","en","Nice stay overall. The staff is very friendly and helpful. The rooms are clean and comfortable. The breakfast was relatively good. I would stay again without hesitation.","nice stay overall staff friendly helpful room clean comfortable breakfast relatively good stay without hesitation",1,5
"97",2961,"102 N Alvernon Way","Tucson","US","La Quinta Inn and Suites Tucson - Reid Park","AZ","7/16/2016","Nice was for school shopping close to mall loved the pool","Nice family time","Rhonda","en","Nice was for school shopping close to mall loved the pool","nice school shop close mall love pool",3,4
"98",2974,"102 N Alvernon Way","Tucson","US","La Quinta Inn and Suites Tucson - Reid Park","AZ","6/30/2016","The people we're terrific from mgr to maintanance very helpful with directions.., very nice","La Quinta Hotel, a place worth Staying.","linda","en","The people we're terrific from mgr to maintanance very helpful with directions.., very nice"," people terrific mgr maintanance helpful direction nice",3,3
"99",2987,"102 N Alvernon Way","Tucson","US","La Quinta Inn and Suites Tucson - Reid Park","AZ","5/27/2016","The location was excellent. Close enough to UA for someone with a car, close to Reid Park for someone who likes to walk or run, and close to restaurants. The room had a microwave and frig. The fig had not been turned on, which was disappointing. We will be coming back and staying here again.","Orientation","Jessica","en","The location was excellent. Close enough to UA for someone with a car, close to Reid Park for someone who likes to walk or run, and close to restaurants. The room had a microwave and frig. The fig had not been turned on, which was disappointing. We will be coming back and staying here again."," location excellent close enough ua someone car close reid park someone like walk run close restaurant room microwave frig fig turn disappoint will come back stay ",1,2
"100",3186,"2725 1st Ave","Spearfish","US","Quality Inn Spearfish","SD","9/26/2015","THIS WAS A STOP ON THE WAY HOME. STAY IN SPEARFISH BEFORE.","A SPOT ON THE WAY HOME.","A Traveler","en","THIS WAS A STOP ON THE WAY HOME. STAY IN SPEARFISH BEFORE."," stop way home stay spearfish ",3,2
"101",3373,"2855 Main St","Irvine","US","Residence Inn By Marriott Irvine John Wayne Airport","CA","9/22/2015","Great Hotel, as in my past stays here. Spacious and comfy rooms, super Flat Screen TV set and Internet Service- WiFi- run flawlessly. Free internet, free parking and happy hour meals. Fantastic Hotel Staff. Will stay there again.","Irvine Business","Jorge","en","Great Hotel, as in my past stays here. Spacious and comfy rooms, super Flat Screen TV set and Internet Service- WiFi- run flawlessly. Free internet, free parking and happy hour meals. Fantastic Hotel Staff. Will stay there again.","great hotel past stay spacious comfy room super flat screen tv set internet service wifi run flawlessly free internet free park happy hour meal fantastic hotel staff will stay ",3,4
"102",3392,"2855 Main St","Irvine","US","Residence Inn By Marriott Irvine John Wayne Airport","CA","7/4/2015","As I walked into the hotel the lobby was nice, check in went smooth, BUT as I went into the room I did a brief walk inside of it and stumbled across a disgusting odor, it was the smell of vomit coming from the closet/ bathroom area. I immediately went downstairs to inform the woman at the check in, apparently the room wasn't suppose to be in use they moved me into another room. Everything looked fine UNTIL my 3 year old son was wearing black shorts and socks and had sat on the floor only to get up and have his whole bottom and socks covered in WHITE FUR. I turned on all the lights and DISCOVERED that the carpet was covered in what seemed to be dog or cat fur, my mother in law and I looked at each other and noticed our clothes were covered in it too as well as our luggage. Once again I went downstairs as we were leaving for dinner asking the front desk if there was anyway to send someone to at least vacuum the room or to get me the vacuum so I do it, she said house keeping was gone and they could possibly send me one when I came back. I didn't get the vacuum and the next morning my mother in law woke up with a SWOLLEN face and itchy throat (she is MILDLY ALLERGIC to animal fur but thats how much fur was in the room that it caused her to have a SEVERE allergic reaction). The only think that was great about this hotel was the decor and breakfast other then that I was disappointed.","Look before you leap","A Traveler","en","As I walked into the hotel the lobby was nice, check in went smooth, BUT as I went into the room I did a brief walk inside of it and stumbled across a disgusting odor, it was the smell of vomit coming from the closet/ bathroom area. I immediately went downstairs to inform the woman at the check in, apparently the room wasn't suppose to be in use they moved me into another room. Everything looked fine UNTIL my 3 year old son was wearing black shorts and socks and had sat on the floor only to get up and have his whole bottom and socks covered in WHITE FUR. I turned on all the lights and DISCOVERED that the carpet was covered in what seemed to be dog or cat fur, my mother in law and I looked at each other and noticed our clothes were covered in it too as well as our luggage. Once again I went downstairs as we were leaving for dinner asking the front desk if there was anyway to send someone to at least vacuum the room or to get me the vacuum so I do it, she said house keeping was gone and they could possibly send me one when I came back. I didn't get the vacuum and the next morning my mother in law woke up with a SWOLLEN face and itchy throat (she is MILDLY ALLERGIC to animal fur but thats how much fur was in the room that it caused her to have a SEVERE allergic reaction). The only think that was great about this hotel was the decor and breakfast other then that I was disappointed."," walk hotel lobby nice check go smooth go room brief walk inside stumble across disgust odor smell vomit come closet bathroom area immediately go downstairs inform woman check apparently room wasnt suppose use move another room everything look fine year old son wear black short sock sit floor get whole bottom sock cover white fur turn light discover carpet cover seem dog cat fur mother law look notice clothe cover good luggage go downstairs leave dinner ask front desk anyway send someone less vacuum room get vacuum say house keep go can possibly send one come back didnt get vacuum next morning mother law wake swell face itchy throat mildly allergic animal fur thats much fur room cause severe allergic reaction think great hotel decor breakfast disappoint",1,1
"103",3419,"2855 Main St","Irvine","US","Residence Inn By Marriott Irvine John Wayne Airport","CA","5/4/2012","Free wifi. Between 1.5 to 2 Mbps up and down","Close to our office","Jeff Chan","en","Free wifi. Between 1.5 to 2 Mbps up and down","free wifi mbps ",3,2
"104",3421,"2855 Main St","Irvine","US","Residence Inn By Marriott Irvine John Wayne Airport","CA","6/17/2015","Although most rres inns are functional this one is in a class by itself. It replicates the comfort of a full service marriott while providing a high quality and Varied offerings for breakfast. The pool area matches in size and cleanliness that of any full service pool area. The front desk staff is knowledgeable and customer oriented. Driving in and... More","More than just a residence inn","blgtravel26","en","Although most rres inns are functional this one is in a class by itself. It replicates the comfort of a full service marriott while providing a high quality and Varied offerings for breakfast. The pool area matches in size and cleanliness that of any full service pool area. The front desk staff is knowledgeable and customer oriented. Driving in and... More","although much rres inn functional one class replicate comfort full service marriott provide high quality vary offering breakfast pool area match size cleanliness full service pool area front desk staff knowledgeable customer orient drive much",3,5
"105",3445,"2855 Main St","Irvine","US","Residence Inn By Marriott Irvine John Wayne Airport","CA","6/22/2015","We stayed at the Irvine Residence Inn twice, in Feb. and then May. The hotel has recently been renovated and the rooms are large and comfortable. The pool is beautiful with many chairs and spa. There is also a large area for groups to hang out, with fire pits. The breakfast area is also spacious and well stocked.","Comfortable Hotel","leselee","en","We stayed at the Irvine Residence Inn twice, in Feb. and then May. The hotel has recently been renovated and the rooms are large and comfortable. The pool is beautiful with many chairs and spa. There is also a large area for groups to hang out, with fire pits. The breakfast area is also spacious and well stocked."," stay irvine residence inn twice feb may hotel recently renovate room large comfortable pool beautiful many chair spa also large area group hang fire pit breakfast area also spacious good stock",3,5
"106",3490,"210 Ludlow St","Warren","US","Days Inn Warren","PA","5/1/2014","Very clear why this hotel is in bankruptcy. Place looks like it was renovated in 1983. Very depressing and smelly. I would be indifferent to sleeping at this holiday inn or under a bridge. Hope I did not contract tuberculosis during my night's stay.The free cookies at the front desk were good","Holiday inn warren","Ben","en","Very clear why this hotel is in bankruptcy. Place looks like it was renovated in 1983. Very depressing and smelly. I would be indifferent to sleeping at this holiday inn or under a bridge. Hope I did not contract tuberculosis during my night's stay.The free cookies at the front desk were good"," clear hotel bankruptcy place look like renovate depress smelly indifferent sleep holiday inn bridge hope contract tuberculosis nights stay free cookie front desk good",1,3
"107",3515,"210 Ludlow St","Warren","US","Days Inn Warren","PA","9/9/2014","Given the limited options for a hotel in Warren, PA, this Holiday Inn is by far the best one. Hotel staff was pleasant and efficient, the bar is very nice and the food is good. I didn't visit the pool, but it looked nice. The rooms are a little dated and musty, but were clean and good enough.","Best Option in Warren","Thom","en","Given the limited options for a hotel in Warren, PA, this Holiday Inn is by far the best one. Hotel staff was pleasant and efficient, the bar is very nice and the food is good. I didn't visit the pool, but it looked nice. The rooms are a little dated and musty, but were clean and good enough.","give limit option hotel warren pa holiday inn far good one hotel staff pleasant efficient bar nice food good didnt visit pool look nice room little date musty clean good enough",3,5
"108",3534,"210 Ludlow St","Warren","US","Days Inn Warren","PA","6/1/2013","Nice and clean nice people","Nice Hotel... Close to everything","Greg","en","Nice and clean nice people","nice clean nice people",3,3
"109",3535,"210 Ludlow St","Warren","US","Days Inn Warren","PA","8/5/2013","Room was fine, but on a partial smoking floor and the hallway smelled strongly of smoke. Overall, the hotel was showing its age, but the beds were great. Staff was friendly and helpful. Exercise room could use some new equipment (or some maintenance on existing), but it was usable. The location was farther from our destination (Jamestown, NY), but we booked very late.","Showing its age","Lucy Fan","en","Room was fine, but on a partial smoking floor and the hallway smelled strongly of smoke. Overall, the hotel was showing its age, but the beds were great. Staff was friendly and helpful. Exercise room could use some new equipment (or some maintenance on existing), but it was usable. The location was farther from our destination (Jamestown, NY), but we booked very late.","room fine partial smoke floor hallway smell strongly smoke overall hotel show age bed great staff friendly helpful exercise room can use new equipment maintenance exist usable location far destination jamestown ny book late",3,4
"110",3543,"210 Ludlow St","Warren","US","Days Inn Warren","PA","10/19/2014","Not worth the cost. No breakfast because they want to purchase from them. Add that to the cost of the room. No refrig or microwave which is standard in most places, even the cheap ones. No exhaust fan in the bathroom. Comfortable to be in, nice furniture ��� but not worth the price. Much better than the local old mom and pops along that route.","Not as good as expected.","A verified traveler","en","Not worth the cost. No breakfast because they want to purchase from them. Add that to the cost of the room. No refrig or microwave which is standard in most places, even the cheap ones. No exhaust fan in the bathroom. Comfortable to be in, nice furniture ��� but not worth the price. Much better than the local old mom and pops along that route."," worth cost breakfast want purchase add cost room refrig microwave standard much place even cheap one exhaust fan bathroom comfortable nice furniture ��� worth price much good local old mom pop along route",1,2
"111",3547,"210 Ludlow St","Warren","US","Days Inn Warren","PA","8/28/2012","PAS DE BONS SERVICES PETITS DEJ INCLUS MAIS POUR DEUX PERSONNES NOUS ETIONS QUATRE APRES DISCUSSION UN BON POUR LE DEJ GRATUIT POUR LES QUATRE MAIS EN FAIT DANS UNE LIMITE DE 20 DOLLARS SOIT IMPOSSIBLE DE PRENDRE DES DEJ A LA CARTE CORRECTEMENT AVEC UN JUS D ORANGE A 3.80 DOLLARS ....","MARIE","A verified traveler","fr","No good services small inclusive but for two people we were four after discussion a good for the free of free for the four but in fact at a limit of 20 dollars is impossible to take a la carte properly with a juice d orange a 3.80 dollars ...."," good service small inclusive two people four discussion good free free four fact limit dollar impossible take la carte properly juice orange dollar",3,2
"112",3557,"210 Ludlow St","Warren","US","Days Inn Warren","PA","7/8/2013","Hotel overall is decent, room was clean. Your choices in this area are pretty limited to begin with. But in our room there was absolutely no sound protection in one wall. I could clearly hear every word and movement from our next-door neighbors, who were drunk on Saturday night but not being unreasonably loud. You can always hear certain muffled noises in hotels, but this was incredible. I literally could have joined in their conversation, I could hear everything perfectly. We should have realized because we could hear the maids earlier in the day. It may be confined to the top floor, all the noise was coming from the ceiling / top of wall.","Something is wrong with Room 425.","A verified traveler","en","Hotel overall is decent, room was clean. Your choices in this area are pretty limited to begin with. But in our room there was absolutely no sound protection in one wall. I could clearly hear every word and movement from our next-door neighbors, who were drunk on Saturday night but not being unreasonably loud. You can always hear certain muffled noises in hotels, but this was incredible. I literally could have joined in their conversation, I could hear everything perfectly. We should have realized because we could hear the maids earlier in the day. It may be confined to the top floor, all the noise was coming from the ceiling / top of wall.","hotel overall decent room clean choice area pretty limit begin room absolutely sound protection one wall can clearly hear every word movement next door neighbor drink saturday night unreasonably loud can always hear certain muffle noise hotel incredible literally can join conversation can hear everything perfectly realize can hear maid early day may confine top floor noise come ceil top wall",3,4
"113",3569,"210 Ludlow St","Warren","US","Days Inn Warren","PA","7/30/2013","This was the worst hotel experience ever! We checked in got into our room and that was the first part of the nightmare. Peeling wallpaper and mold in the bathroom. Stained carpets in the bedroom. The pool had a layer of scum coating the surface and the gym equipment was non functional. To top it off the entire hotel had a lingering diesel odor. BEWARE before you book here.","Nightmare","melissa","en","This was the worst hotel experience ever! We checked in got into our room and that was the first part of the nightmare. Peeling wallpaper and mold in the bathroom. Stained carpets in the bedroom. The pool had a layer of scum coating the surface and the gym equipment was non functional. To top it off the entire hotel had a lingering diesel odor. BEWARE before you book here."," bad hotel experience ever check get room first part nightmare peel wallpaper mold bathroom stain carpet bedroom pool layer scum coat surface gym equipment non functional top entire hotel linger diesel odor beware book ",1,1
"114",3571,"210 Ludlow St","Warren","US","Days Inn Warren","PA","12/29/2011","Hotel is clean and comfortable. The amenities are good. The bathroom plaster board was about to crumble - that's my only callout.","Nightmare","A verified traveler","en","Hotel is clean and comfortable. The amenities are good. The bathroom plaster board was about to crumble - that's my only callout.","hotel clean comfortable amenity good bathroom plaster board crumble thats callout",3,4
"115",3832,"Bia Route 7 Garcia Trading Post","Chinle","US","Holiday Inn Canyon De Chelly","Cottonwood Station","9/26/2015","Everything was clean, comfortable. Staff was helpful.","Good place to stay with helpful staff.","Jose","en","Everything was clean, comfortable. Staff was helpful.","everything clean comfortable staff helpful",3,4
"116",3869,"Bia Route 7 Garcia Trading Post","Chinle","US","Holiday Inn Canyon De Chelly","Cottonwood Station","6/18/2016","We stayed here because it was close to Canyon de Chelly which we wanted to visit. Everything was very nice except for the smell of cigarettes in the room. Our friends also stayed here, and they said their room was perfect.","Close to Canyon de Chelly","Marsha","en","We stayed here because it was close to Canyon de Chelly which we wanted to visit. Everything was very nice except for the smell of cigarettes in the room. Our friends also stayed here, and they said their room was perfect."," stay close canyon de chelly want visit everything nice except smell cigarette room friend also stay say room perfect",3,3
"117",3933,"4526 E Belknap St","Haltom City","US","Haltom Inn","N Richland Hills","9/26/2015","I just happened into this place, I was called on to travel at the last minute and didn't make reservations, so when I found this place I was please with the looks on the out side, and when I stayed 2 nights I was well pleased, the rooms were nicely remodeled, and larger than most, I had rooms with new... More","Good nights stay","A Traveler","en","I just happened into this place, I was called on to travel at the last minute and didn't make reservations, so when I found this place I was please with the looks on the out side, and when I stayed 2 nights I was well pleased, the rooms were nicely remodeled, and larger than most, I had rooms with new... More"," just happen place call travel last minute didnt make reservation find place please look side stay night good please room nicely remodel large much room new much",3,4
"118",3995,"100 Holiday Dr","Portland","US","Holiday Inn Express & Suites Portland","Bellefountain","9/5/2015","When visiting Portland, you don't have many choices for lodging. Given that, this Holiday Inn Express is a decent choice. Having stayed here multiple times, however, it seems that the rooms' cleanliness is hit-or-miss. When you check into your room, be sure to check for bed bugs and don't hesitate to request a room change.","Best Of Very Limited Local Options","ErnestJutte","en","When visiting Portland, you don't have many choices for lodging. Given that, this Holiday Inn Express is a decent choice. Having stayed here multiple times, however, it seems that the rooms' cleanliness is hit-or-miss. When you check into your room, be sure to check for bed bugs and don't hesitate to request a room change."," visit portland dont many choice lodge give holiday inn express decent choice stay multiple time however seem rooms cleanliness hit miss check room sure check bed bug dont hesitate request room change",1,4
"119",4093,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","9/25/2015","Hotel us old. Carpets filthy, couch and chair cushions nasty. I hated staying there. La Quinta is off my list.","Lack of cleanliness.","lucy","en","Hotel us old. Carpets filthy, couch and chair cushions nasty. I hated staying there. La Quinta is off my list.","hotel us old carpet filthy couch chair cushion nasty hate stay la quinta list",1,1
"120",4130,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","3/16/2015","I visit this hotel approx every other month and find it clean, and restful. I recommend your stay here! Breakfast is Free, has pool, Free newspaper, Free showtime, HBO. I will stay here again Happy to Advise on TripAdvisor.","A Great Nights sleep!","Daniel H","en","I visit this hotel approx every other month and find it clean, and restful. I recommend your stay here! Breakfast is Free, has pool, Free newspaper, Free showtime, HBO. I will stay here again Happy to Advise on TripAdvisor."," visit hotel approx every month find clean restful recommend stay breakfast free pool free newspaper free showtime hbo will stay happy advise tripadvisor",3,5
"121",4137,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","7/16/2016","From the moment you get to the lobby and see how dirty and in organized it is to the receptionist the talk to you while eating to the corridors that with carpet that is danger to walk on to the room that smells old and look like a garage sale. This is unpleasant hotel. Unfortunately I paid in advanced (big... More","Unpleasant","David P","en","From the moment you get to the lobby and see how dirty and in organized it is to the receptionist the talk to you while eating to the corridors that with carpet that is danger to walk on to the room that smells old and look like a garage sale. This is unpleasant hotel. Unfortunately I paid in advanced (big... More"," moment get lobby see dirty organize receptionist talk eat corridor carpet danger walk room smell old look like garage sale unpleasant hotel unfortunately pay advance big much",1,2
"122",4181,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","3/12/2016","The suite was clean, roomy, and comfortable...the staff was accomodating. A little pricey at 179 plus taxes.","A little on the pricey side...but a comfortable st","Salewa","en","The suite was clean, roomy, and comfortable...the staff was accomodating. A little pricey at 179 plus taxes."," suite clean roomy comfortable staff accomodating little pricey plus tax",3,3
"123",4194,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","2/8/2015","The staff at this hotel were very friendly and went out of the way to help me and my crew check-in early in order to not miss work. The entire experience was great and the rooms were perfect. It's nice to be treated like an important guest and that they would out of their way to make your stay a... More","Awesome Staff","dlwbsa","en","The staff at this hotel were very friendly and went out of the way to help me and my crew check-in early in order to not miss work. The entire experience was great and the rooms were perfect. It's nice to be treated like an important guest and that they would out of their way to make your stay a... More"," staff hotel friendly go way help crow check early order miss work entire experience great room perfect nice treat like important guest way make stay much",1,4
"124",4199,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","12/25/2015","Very nice facility. Everything was beautiful, clean, smoke free. I would highly recommend this facility. The staff was courteous and friendly. We always stay at LaQuintas so we can bring our doggy. We would definitely stay here again.","Great place to stay.","Vicki A","en","Very nice facility. Everything was beautiful, clean, smoke free. I would highly recommend this facility. The staff was courteous and friendly. We always stay at LaQuintas so we can bring our doggy. We would definitely stay here again."," nice facility everything beautiful clean smoke free highly recommend facility staff courteous friendly always stay laquintas can bring doggy definitely stay ",3,5
"125",4203,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","6/21/2016","There are 2 locations side by side. Be sure and pick the better one if you can. I'm in the 13651 and that's old and dumpy. I like the desk lamp that can't be turned off/on unless you plug it in! Lol... This is a nice area, very safe and quick on/off to 595/75.","Choose the better Sunrise La Quinta!","eck6gang","en","There are 2 locations side by side. Be sure and pick the better one if you can. I'm in the 13651 and that's old and dumpy. I like the desk lamp that can't be turned off/on unless you plug it in! Lol... This is a nice area, very safe and quick on/off to 595/75."," location side side sure pick good one can im thats old dumpy like desk lamp cant turn unless plug lol nice area safe quick ",1,4
"126",4206,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","8/14/2015","Great stay. Small problem with internet access. Should speed up its connection.","Cozy hotel close to Ikea","Rafael","en","Great stay. Small problem with internet access. Should speed up its connection.","great stay small problem internet access speed connection",1,1
"127",4221,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","2/9/2015","Friendly helpful staff - Close to location of the event that we were attending. Good hot breakfast, though we would have liked either sausage or bacon as well. Eating area a bit cramped but we all made it work. Really nice staff. Better than other LaQunita's that we have stayed at.","Met our needs","Katie H","en","Friendly helpful staff - Close to location of the event that we were attending. Good hot breakfast, though we would have liked either sausage or bacon as well. Eating area a bit cramped but we all made it work. Really nice staff. Better than other LaQunita's that we have stayed at.","friendly helpful staff close location event attend good hot breakfast though like either sausage bacon good eat area bite cramp make work really nice staff good laqunitas stay ",3,4
"128",4224,"13600 N W 2nd St","Fort Lauderdale","US","La Quinta Inn and Suites Sunrise","Plantation","2/15/2015","the staff was friendly and very welcoming, check-in out was easy, plenty of parking, great location from the BBT Center, great local restaurants it was near...the room was clean, very comfortable bed, loved having a fridge microwave in room..very convenient","Cozy Comfort..it was like Home - But BETTER","Lisa L","en","the staff was friendly and very welcoming, check-in out was easy, plenty of parking, great location from the BBT Center, great local restaurants it was near...the room was clean, very comfortable bed, loved having a fridge microwave in room..very convenient"," staff friendly welcome check easy plenty park great location bbt center great local restaurant near room clean comfortable bed love fridge microwave room convenient",3,5
